,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
2632,Rocket Man,Rocket Man is an indica dominant hybrid strain created through a cross of the classic,Indica Dominant Hybrid,70% Indica,30% Sativa,19.5,Citrus Sweet Lemon Skunky Pungent Woody,Relaxing Sleepy Relaxing Sleepy
2633,Sweet Baby Jane,"Sweet Baby Jane, or simply “Sweet Jane,” is an indica dominant hybrid strain that is a special cut of the infamous Sweet Island Skunk strain. With an average THC level of 20% and a CBD level that typically falls at about the 2% mark, Sweet Baby Jane is a great choice for those who like powerful THC effects with a touch of medicinal power. The Sweet Baby Jane is very happy and uplifted in nature, with a focused and motivated lift that hits you almost immediately after toking. As your motivation builds, so will your energy, leaving you feeling euphoric and creative as well as pretty aroused at times. Because of these effects, Sweet Baby Jane is a great choice for treating patients suffering from conditions such as chronic fatigue, depression, chronic stress or anxiety, nausea, and chronic pain. This bud has small piecey forest green nugs with amber hairs and a frosty thick layer of milky amber crystal trichomes. The Sweet Baby Jane taste is just like its Sweet Island Skunk parent, with a sweet tropical flavor that’s accented by lemons and mango with a skunky earthy exhale that’s surprisingly smooth. The aroma is very tropical and fruity although it does pack a skunky kush pungency.",Indica Dominant Hybrid,70% Indica,30% Sativa,20.0,Earthy Grapefruit Mango Citrus Grape Tropical Lemon Berry Skunky,Aroused Creative Euphoria Happy Sleepy Aroused Creative Euphoria Happy Sleepy
2634,Cloud 9,Cloud 9 is an indica dominant hybrid (70% indica/30% sativa) strain created through a cross of the rare,Indica Dominant Hybrid,70% Indica,30% Sativa,15.5,Earthy Citrus Sweet Pungent Lavender Pine,Body High Creative Euphoria Focus Happy Relaxing Body High Creative Euphoria Focus Happy Relaxing
2635,Starfruit,Starfruit is an evenly balanced hybrid (50% indica/50% sativa) strain created through a potent cross of the powerful,Hybrid,50% Indica,50% Sativa,20.0,Spicy Dank Fruity Lemon Pungent,Hungry Relaxing Uplifting Hungry Relaxing Uplifting
2636,big skunk korean,Big Skunk Korean is an indica dominant hybrid strain created through a powerful three-way cross of the infamous,Indica Dominant Hybrid,70% Indica,30% Sativa,19.0,Pungent Skunky Hash Fragrant,Cerebral Creative Happy Hungry Relaxing Sociable Cerebral Creative Happy Hungry Relaxing Sociable
2637,Sinmints,"SinMints, otherwise known as “SinMint Cookies,” is a slightly indica dominant hybrid (60% indica/40% sativa) strain created through crossing the powerful",Indica Dominant Hybrid,60% Indica,40% Sativa,15.5,Earthy Sweet Nutty,Happy Relaxing Happy Relaxing
2638,Vancity Kush,"Vancity Kush, also known as “Van City Kush,” is an evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the infamous",Hybrid,50% Indica,50% Sativa,21.0,Earthy Sweet Kush Spicy Lemon Pungent,Euphoria Happy Relaxing Euphoria Happy Relaxing
2639,Whitaker Blues,"Whitaker Blues carries a truly Oregon heritage and is a cross developed by the offspring of DJ Short, called JD. This strain's father is Blueberry that originates from the West Coast in the US and this strain's mother is referred to as ""Quimby"" which is also an old-school strain found in the West Coast. Because of this amalgamation, Whitaker Blues is an indica-dominant strain and its indica dominant features are also apparent in the growth features. This marijuana strain is a firm, short branching hybrid that carries compact, large and extremely resinous buds. The growth of Whitaker Blues is productive and vigorous and grows well in either soil or hydro and proves to be resistant to various garden types. It has a flowering period of 55-62 and comprises of blue and violet hues that emerge at the end of the flowering period. Whitaker Blues carries an enchanting and complex smell that ranges from sweet to pungent. Upon consumption, a user also gets hints of a berry candy, musky pungency along with a honey-like sweetness. It a flavor is both sweet and pungent with a unique grape flavor and also mild hints of vanilla. Whitaker Blues provides with an initial strong stimulating and slight dizzy effect that increases sensuality, inspiration and appetite.",Hybrid,50% Indica,50% Sativa,,Earthy Citrus Sweet Pungent Spicy Herbal Apple Fruity Berry Pine Vanilla,Body High Hungry Relaxing Body High Hungry Relaxing
2640,White Skunk,White Skunk is a slightly indica dominant hybrid (65% indica/35% sativa) strain that was created by breeders at the infamous Sensi Seeds as a potent cross of the insanely popular,Indica Dominant Hybrid,65% Indica,35% Sativa,20.0,Orange Citrus Sweet Sour Fruity Creamy Skunky,Body High Euphoria Relaxing Sleepy Body High Euphoria Relaxing Sleepy
2641,White Widow Unk,"White Widow Unk is an evenly balanced hybrid strain (50% indica/50% sativa) created as a super potent backcross of the infamous White Widow strain. When it comes to hard-hitting potency, this bud cannot be beat. With a THC level that bottoms out at 25% and effects that can knock out the most experienced of users, this bud is not to be underestimated. The White Widow Unk high comes on with a rushing effect that slams into your mind, launching you into a totally stoney state of pure euphoria and creativity. An influx of energy accompanies this high, leaving you with racing thoughts and a touch of physical energy that can cause anxiety and paranoia if you’re not careful with your dosage. Thanks to these effects and its super high THC level, White Widow Unk is often chosen to treat very experienced users suffering from depression, chronic fatigue, stress, chronic pain, and mood swings. This bud has a sweet and spicy herbal woody flavor with a lightly sour exhale. The aroma is earthy and pungent with a dank hash overtone that’s accented by rich woods and spices. White Widow Unk buds have oversized piecey neon green nugs with bright orange hairs and a coating of frosty vibrantly white crystal trichomes.",Hybrid,50% Indica,50% Sativa,25.0,Earthy Woody,Creative Energizing Euphoria Creative Energizing Euphoria
2642,XXX Bubba,"XXX Bubba, also known simply as ""XXX"" to many members of the cannabis community, is a heavily indica dominant hybrid strain that is a potent cross between the infamous Bubble Gum X Kush strains. This dank bud boasts a THC level ranging from 19-24% on average and primarily indica effects. Users describe the XXX Bubba high as a very calming, sleepy, and dreamy indica dominant high. This high has a very slowly creeping onset that will have you utterly sedated and couch-locked before you even realize it's hit you. As the high continues, you'll be left introspective and hazy before you fade easily into a deep and peaceful night's sleep. Due to these potent indica effects, XXX Bubba is said to be an ideal strain for treating patients suffering from conditions such as mild to moderate cases of depression, chronic anxiety, pain, and inflammation. XXX Bubba has a smell of sweet peppery earth and a taste of sweet earth with a floral fruity hint upon exhale. These buds have small to medium-sized neon green arrowhead-shaped nugs with a thick layering of rich amber hairs. These nugs are caked in oversized white trichomes and a fine layer of sweet sticky resin.",Indica Dominant Hybrid,70% Indica,30% Sativa,21.5,Earthy Sweet,Relaxing Sleepy Relaxing Sleepy
2643,White Zombie,"White Zombie is a slightly indica dominant hybrid (60% indica/40% sativa) strain that has unknown genetics due to general disagreement within the cannabis community. Some believe that it is a descendant of the Zombie OG family, and others believe that the original breeder was simply a fan of Rob Zombie's band. Either way, this dank bud boasts a moderately high THC level that ranges from 15-19% on average and offers a delicious aroma and taste of sweet buttery wood. These buds have large dense tightly packed forest green spade-shaped nugs that are covered in a spattering of thin twisty fiery orange hairs. These nugs are dusted with a fine layer of sandy white trichomes and sweet sticky resin. Users describe the White Zombie high as having an immediate euphoric aroused and energetic state that leaves you joyous and creative with a heightened sense of purpose. This is followed by a potent numbing body high that spreads from the back of your neck and spine throughout the body, leaving you warmed and completely pain-free. This body high eases you into a state of sedation and lethargy that often ends in sleep. Due to these effects, White Zombie is ideal for treating chronic stress or anxiety, mild cases of depression, and chronic pain.",Indica Dominant Hybrid,60% Indica,40% Sativa,17.0,Pine Sweet Woody,Cerebral Creative Euphoria Focus Happy Relaxing Sociable Cerebral Creative Euphoria Focus Happy Relaxing Sociable
2644,Willie Nelson,"All hail Willie! America's favorite outlaw country star is also the living patron saint of marijuana users, recreational and medical alike. The popular medical selection that bears his name is a sativa-heavy blend of Vietnamese Black and Highland Nepalese (sativa/indica ratio of at least 60:40). The effects are reportedly creative and clear-headed, with a strong dose of euphoria, a mood boost, and a shot of energy. Use Willie to treat daily stresses, anxiety, chronic physical pain, low mood, and nausea. Negative effects include dry mouth and red eyes, while paranoia, headaches, and dizziness are also reported. Willie Nelson, which took the top prize in the Best Sativa category at the 2005 Cannabis Cup, has THC levels in excess of 22% in some tests, making it an especially potent medical tool. But CBD numbers aren't widely reported, so this strain shouldn't be used as the only treatment for conditions that respond to that substance. Sweet pineapple, pepper, and soil are the dominant notes in the aroma and flavor of this strain, which can be found on most legal and black markets in the United States.",Sativa Dominant Hybrid,40% Indica,60% Sativa,22.0,Citrus Sweet Sour Grassy Lemon Pine,Creative Euphoria Giggly Happy Uplifting Creative Euphoria Giggly Happy Uplifting
2645,Yoda OG Kush,"Yoda OG Kush, also known simply as ""Yoda OG"" to most of the cannabis community, is an indica dominant hybrid (85% indica/15% sativa) strain that is a potent phenotype of the infamous OG Kush strain. This dank bud boasts a moderately high THC level that ranges from 15-24% on average and a myriad of potent indica and sativa effects. Users describe the Yoda OG Kush high as one that is builds slowly before reaching an insanely potent peak. This indica strain has a slowly building body high that peaks and leaves you completely lethargic and utterly couch-locked. You'll be melted into your seat and completely relaxed and at ease. This high almost always ends in a deep and powerful pain-free sleep upon continuation of the high. Due to these potent effects Yoda OG Kush is said to be an ideal strain for treating patients suffering from conditions such as chronic stress or anxiety, chronic pain due to injury or illness, mild to moderate cases of depression, and insomnia. Yoda OG Kush has a taste of earthy woody pine with a hint of lemon and an aroma akin to lemon pledge cleaner. These nugs have long leafy grape-shaped light minty green nugs with thin orange hairs and chunky white trichomes.",Indica Dominant Hybrid,85% Indica,15% Sativa,19.5,Orange Earthy Dank Lemon Vanilla,Body High Cerebral Relaxing Body High Cerebral Relaxing
2646,Yuckleberry Wow,"A potent indica strain, Yuckleberry Wow will take your pain away within seconds. The strain has a smooth clean taste that leaves a woodsy aftertaste. The plant of this strain has small dense buds that are coated with amber hair. This high potency strain has a grassy and peppery aroma that will delight smokers and offer them a good relief from their daunting schedules. Those suffering from anxiety or chronic pain can use this strain to get rid of their nervous jitters and relax into a comfortable and peaceful state of mind. A few tokes of Yuckleberry Wow will give smokers a mellow high which makes it an ideal strain for beginners who want to experiment with something mild. It will clear the mind and help you think better. It will also relieve pain and relax and soothe your nerves. The dank strain will hit at the right spot and help you unwind and lighten up. Perfect for a cold winter evening, this strain will give you the warmth you desire and help you doze off into a restful sleep.",Hybrid,50% Indica,50% Sativa,,Spicy Grassy Dank Pepper Pine Woody,Energizing Euphoria Happy Uplifting Energizing Euphoria Happy Uplifting
2647,Yumboldt '47,"This 90% Indica and 10% Sativa hybrid is a cross between AK47 and Yumboldt. With a THC content of 20%, it is capable of producing a nice couchlock effect that is long-lasting, along with increasing your creativity and euphoria. Count on feeling a little bit lazy and sleepy as well! Patients who are lucky enough to get a hold of this highly recommended medicinal strain will commonly use it for anxiety, depression, migraines, stress, and pain, both acute and chronic. The green leaves look as if they have been frosted with white sugar, and blue color groupings can be seen around the buds. As far as appearance goes, this strain almost looks too pretty to smoke. Both the taste and the aroma are almost exactly the same - a sweet, incense type smell that is both pungent and earthy at the same time. Keep this one for your after work medication program and be prepared to quickly feel your pain and stress disappear.",Hybrid,50% Indica,50% Sativa,20.0,Citrus Sweet Spicy Lemon Pine Woody,Body High Relaxing Body High Relaxing
2648,Mt. Hood Magic,Mt. Hood Magic is an indica dominant hybrid strain created through a cross of the powerful,Indica Dominant Hybrid,70% Indica,30% Sativa,34.0,Earthy Citrus Sour Spicy Herbal Lemon Berry Pungent,Creative Energizing Euphoria Happy Uplifting Creative Energizing Euphoria Happy Uplifting
2649,Swedish Nectar,"Don't go looking for this rare treat in Scandinavia; marijuana is still illegal there, and the country isn't exactly known for its cannabis exports. That's fitting, given how hard it is to find much of any data on Swedish Nectar. It's a sativa-dominant hybrid that delivers mostly cerebral effects, but the precise ratio of sativa to indica is unknown, as are the THC and CBD contents of this strain. It is rumored to be a fairly potent strain, but definitely not one of the strongest. The sativa genes make it a decent choice for treating depression, fatigue, lack of appetite, and undesired weight loss. It produces a powerful case of the munchies, so it's ideal for patients who need to eat more. The head high packs a strong boost of energy and euphoria, with a powerful, upbeat feeling throughout. The aroma and taste of Swedish Nectar are decidedly citrusy. Negative effects are limited, though dry mouth and dry eyes are always possible. There are few if any American dispensaries that currently carry this strain, though it's probably most abundant in the American West.",Hybrid,50% Indica,50% Sativa,,Citrus,Cerebral Energizing Euphoria Happy Cerebral Energizing Euphoria Happy
2650,Cinderella 88,"Cinderella 88, sometimes known as Cinderella 99 or C99, is a sativa dominant hybrid (70% sativa/30% indica) that was created by breeders at the infamous Brothers Grimm farm. This bud is a cross between the Brothers Grimm strains",Sativa Dominant Hybrid,30% Indica,70% Sativa,20.0,Orange Earthy Sweet Citrus Spicy Dank,Energizing Focus Motivation Uplifting Energizing Focus Motivation Uplifting
2651,Afghanica,"Afghanica has a creative high on your system that makes you feel euphoric, happy, sleepy and hungry as well. It is a powerful F1 hybrid strain that has an Indica/ Sativa content of 65/35. The strain grows into a tall six foot plant that resembles the Christmas tree. It has broad purple and green colored leaves covered with orange colored hair. The plant has a very thick canopy. It has a THC level of 20.37 percent, CBD level of 1.2 percent and a 0 percent CBC level. It has a strong aroma that is a mixture of different odors, including pine, musk, citrus and skunk-y odors. It has a strong taste that is a good blend of spicy and herbal flavors and has a strong undertone of hash, tea, woody and pine flavors. Afghanica is excellent for treating nausea. It helps you get rid of the nauseous feeling upsetting your stomach very quickly and easily. In addition to that, it is helpful in mitigating your stress and anxiety and calms you down conveniently. You can also use it for treating a variety of pains, including arthritis pains. Some people also find relief from insomnia after smoking Afghanica. Its side effects include dry eyes and dry mouth.",Indica Dominant Hybrid,65% Indica,35% Sativa,20.0,Grapefruit Sweet Citrus Hash Berry Tea Skunky Pine,Creative Euphoria Happy Sleepy Creative Euphoria Happy Sleepy
2652,Uptown Girl,Uptown Girl is a sativa dominant hybrid (80% sativa/20% indica) strain created by breeders at the legendary Barney's Farm Seeds as a potent cross between the infamous,Sativa Dominant Hybrid,20% Indica,80% Sativa,20.0,Spicy Sweet,Cerebral Creative Energizing Cerebral Creative Energizing
2653,Aloha Berry,"A great smelling and great tasting cannabis is Aloha Berry. It originated from a small island in Hawaii. It offers a balance with 60:40 Indica/Sativa. It has a high THC level of 28%. The smell and the flavor it delivers are a powerful fruity berry. This particular plant goes very easily, and it is often one that beginners choose to grow. Aloha Berry plants grow very quickly and all of the plants are female. They offer a high yield of crystals. Aloha Berry is often used by those that suffer from high levels of stress or depression. This cannabis product can help to reduce stress so that mood improves and sleeping habits improve. It can also boost mood so that a person with mild to moderate depression feels uplifted and more social. It helps to relax tension in the body too, that can be caused by high levels of stress.",Indica Dominant Hybrid,60% Indica,40% Sativa,26.5,Earthy Citrus Sweet Pineapple Blueberry Fruity Berry Vanilla,Creative Euphoria Giggly Happy Relaxing Creative Euphoria Giggly Happy Relaxing
2654,Ambrosia,Ambrosia is an evenly balanced hybrid (50% indica/50% sativa) strain that is an incredibly delicious mix of the hugely popular,Hybrid,50% Indica,50% Sativa,14.5,Citrus Sweet Tropical Berry Skunky,Creative Energizing Euphoria Focus Happy Relaxing Creative Energizing Euphoria Focus Happy Relaxing
2655,Arabian Gold,"Arabian Gold has a strong creative high that lasts on your system for quite a while. This hybrid Sativa dominant strain has dark green colored buds that are covered completely with dark orange hair and trichomes. It has a THC level of 11.08 percent, CBD level of 1.15 percent and CBN level of below 0.05 percent. One of the most prominent effects of Arabian Gold on your system is extreme euphoria. It makes you feel highly euphoric. In addition to that, it makes you feel energized, happy and hungry. As it stimulates hunger, many tokers use it to combat loss of appetite. It has an earthy aroma that has a strong hint of the odor of hash. Its taste is quite strong and a blend of hashy and earthy flavors. Due its calming effects on your system, Arabian Gold is best used for treating anxiety. It soothes your stressed nerves and makes you feel peaceful. It can also help you gain relief from nausea and unexplainable stress. You can use it for curing insomnia as it helps you sleep peacefully at night. Mild to chronic pains can also be treated with it. Its side effects include dry mouth and dry eyes.",Hybrid,50% Indica,50% Sativa,11.0,Earthy Hash,Creative Energizing Euphoria Giggly Happy Creative Energizing Euphoria Giggly Happy
2656,Banana Candy,"Banana Candy, which also goes by the name Banana Candy Kush, is known for its sweet fruity flavor and earthy aroma. It's an indica, though the exact ratio of indica to sativa is unclear. This strain is ideal for nighttime use, as it induces a sleepy euphoric sensation. The buds have a bright green appearance, and the flavor is reminiscent of both candy and bananas. The high hits mostly in the body, though many patients report a feeling of arousal. This strain is great for relieving insomnia and treating anxiety, as its physical effects rapidly reduce stress. Banana Candy is also an effective treatment for chronic pain and PMS. Cottonmouth is the most common side effect, though paranoia, dizziness, and red eyes are also reported. THC contents are murky, though some tests suggest levels as high as 24%. CBD levels appear to be much lower, though still higher than average: about 1.3%. Like many pure indicas, Banana Candy is quite hard to find. It's available in Los Angeles, and possibly elsewhere on the West Coast, but it's seldom seen elsewhere.",Indica,,,24.0,Sweet Candy Banana Fruity Pine,Aroused Euphoria Happy Sleepy Aroused Euphoria Happy Sleepy
2657,Berkeley,"Berkeley is a 100% pure sativa strain with unknown parentage due to breeder secrecy and an intensely high THC level ranging from 24-28% on average. It is rumored that this strain was created as an incredibly successful botany project of a student at Berkeley before spreading throughout the area. Berkeley buds have dense round nugs that are dark olive green with minty green patches and dark leaves. These nugs are covered in thick twisty fiery orange hairs and a fine layer of milky white trichomes and syrupy sweet resin. Berkeley OG has an aroma of sweet spicy herbs with a savory hint and a taste of sweet herbal tea with a peppery spicy aftertaste upon exhale. Users describe the Berkeley high as one with typical energetic buzzy cerebral sativa effects accompanied by extremely potent mind stimulation. You'll feel intensely uplifted and energetic with an overwhelming sense of motivation and artistic or creative inspiration. In fact, this strain is said to be a favorite of artists looking for a spark of creativity. Due to these potent euphoric sativa effects, Berkeley is an ideal strain for treating patients suffering from conditions such as anxiety disorders, chronic stress, fatigue, and tension headaches or migraines.",Sativa,,,,Citrus Sweet Chemical Lemon Fragrant Pine,Creative Energizing Euphoria Focus Giggly Happy Sociable Creative Energizing Euphoria Focus Giggly Happy Sociable
2658,BC Roadkill,BC Roadkill is an indica dominant hybrid (70% indica/30% sativa) strain that is a dank cross between the insanely popular,Indica Dominant Hybrid,70% Indica,30% Sativa,22.0,Earthy Pungent Chemical Diesel Skunky Pine,Euphoria Focus Happy Hungry Relaxing Euphoria Focus Happy Hungry Relaxing
2659,Blue Bastard,Blue Bastard is an indica dominant hybrid (70% indica/30% sativa) strain that is a potent cross of,Indica Dominant Hybrid,70% Indica,30% Sativa,20.5,Pine Berry,Creative Euphoria Happy Relaxing Sleepy Creative Euphoria Happy Relaxing Sleepy
2660,Black Dahlia,Black Dahlia is a hugely popular indica dominant hybrid (75% indica/25% sativa) strain that is a beautiful fusion of crossing the infamous,Indica Dominant Hybrid,75% Indica,25% Sativa,12.0,Sweet Blueberry Floral Fruity Berry Sage Pine Woody,Euphoria Happy Relaxing Sleepy Sociable Euphoria Happy Relaxing Sleepy Sociable
2661,Blue Moonshine,"Never drink blue moonshine, but definitely take a hit of the indica-heavy Blue Moonshine if you get the chance. THC levels are nothing extraordinary, topping 13% in some tests, but that makes this a great medical choice for occasional tokers and first-timers. The pungent fruity flavor and aroma, reminiscent of blueberries and citrus, give this strain the Blue half of its name. The Moonshine part comes from additional notes of fermentation in the taste and smell. No one seems to know much about what plants gave rise to Blue Moonshine, and the same is true of the exact balance of sativa to indica. CBD levels are very low, too low to recommend this strain to patients who suffer from epileptic conditions and other disorders that respond to that chemical. Expect a calming, euphoric body high with sleepiness, a tingling sensation, and a boost of creativity. Use Blue Moonshine as effective treatment for anxiety, depression, mood disorders, muscle spasms, chronic pain, insomnia, and stress. The usual side effects are likely: cottonmouth, dry eyes, dizziness, headaches, and limited paranoia. Sold mostly in California and Colorado, this strain can also be found on the medical market in Oregon.",Hybrid,50% Indica,50% Sativa,13.0,Earthy Sweet Citrus Blueberry Floral Berry Pine,Creative Euphoria Happy Relaxing Creative Euphoria Happy Relaxing
2662,Blueberry Hash,"California Hashplant was blended with the legendary Blueberry in this indica-dominant hybrid, which has a indica/sativa ratio of roughly 70:30. That esteemed parentage definitely delivers in Blueberry Hash, bringing THC levels that top 19% in publicly available tests. The high is equally potent, providing intensely euphoric, calming, and clear-headed cerebral effects that may be useful in treating anxiety, low mood, chronic physical pain, and stress. But CBD concentration is reportedly less than 1%, and that is much too low to recommend this strain as the exclusive treatment for severe seizure disorders and other health conditions that can be alleviated using CBD. The leaves of Blueberry Hash's nugs have a medium green hue and are covered with a layer of resinous trichomes. This strain tastes and smells of berries and other sweet fruits. There aren't many published reports on side effects produced by Blueberry Hash, but watery eyes and dry mouth. This strain can sometimes be found on the American black market, but mostly it sells in the legal medical marijuana dispensaries of California, the Pacific Northwest, and Colorado.",Indica Dominant Hybrid,70% Indica,30% Sativa,19.0,Fruity,Euphoria Euphoria
2663,Bubblegun,[Bubblegun is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through a potent cross of the classic,Hybrid,50% Indica,50% Sativa,25.0,Peppery Sweet Bubble Gum Strawberry Mint,Aroused Energizing Euphoria Giggly Happy Relaxing Aroused Energizing Euphoria Giggly Happy Relaxing
2664,C13 Haze,"C13 Haze is a hybrid strain of medical marijuana which possesses a dominant Sativa lineage. Generally, C13 Haze has a ratio of 80:20 Sativa/ Indica. As a cross between G13 Haze and Super Cannalope, yield production is usually between moderate and heavy. Known as one of medical marijuana's haziest strains, the effects are raved about by users. This strain alleviates the symptoms of migraines, debilitating or chronic pain, anxiety, and severe or chronic stress. It is also one of the best strains out there for decreasing nausea within the body. Downsides to this strain are the expected dry eyes and dry mouth, along with getting lost in what you are doing. Patients commonly report fabulous such as uplifting happiness, pure euphoria, and a buzz that can only be labeled creative. The smoke is best suited to kicking back and relaxing, even during the day. The appearance of C13 Haze is light green, with orange peppered throughout.",Sativa Dominant Hybrid,20% Indica,80% Sativa,,Earthy Coffee Lemon Nutty,Aroused Creative Energizing Euphoria Giggly Happy Aroused Creative Energizing Euphoria Giggly Happy
2665,Caramelicious,"Caramelicious is an insanely delicious indica dominant hybrid (80% indica/20% sativa) strain that offers a moderate 17-20% THC level. Its sticky dark olive green nugs are covered in sugary sweet trichomes and are practically dripping with sticky syrupy resin. When smoked in moderate amounts, users describe the high as a sudden-onset of cerebral clarity, from the indica genes followed by a sativa-heavy sense of tranquility and full-body relief. This strain is ideal for patients who suffer from severe anxiety disorders, such as PTSD (post traumatic stress disorder) and chronic pain due to long-term illnesses, such as cancer and multiple sclerosis. Caramelicious is widely known and insanely popular among most patients because of its sweet and caramelly taste and honey vanilla aroma. It's often smoked as an after dinner dessert or as a mid-afternoon treat. Because of its steady, mild high, that's a mellow mix of both indica and sativa effects, it's a great choice for new patients who prefer a sweet tasting bud.",Indica Dominant Hybrid,80% Indica,20% Sativa,,Earthy Coffee Vanilla Sweet Candy Creamy Honey Caramel Nutty,Aroused Cerebral Euphoria Happy Hungry Relaxing Aroused Cerebral Euphoria Happy Hungry Relaxing
2666,Diesel Duff,"A potent hybrid marijuana strain, Diesel Duff takes after the genetics of Sour Diesel. It has a 40/60 sativa/indica ratio, 16.12% THC level and 0.73% CBD level. The strain has a mellow cerebral effect and works well for those who want to laze around in the afternoon. This mild marijuana strain has a calming effect on the mind and can uplift your mood and give direction to your creativity and thoughts. An ideal cure for stress and anxiety, the strain is also capable of relieving pain and muscle spasms and can trigger appetite. It can effectively deal with arthritis, asthma, Crohn's Disease, Cachexia, diabetes, depression and even cancer. If you do not have any work planned for the rest of the day, a few tokes of this will help relax your mind and body and will help you get a restful afternoon nap. The strain has a pungent diesel aroma and a smooth and rich diesel flavor that leaves a citrus aftertaste. A delight for novice smokers, this crisp flavored strain will give you a mild buzz that will aid concentration and focus.",Indica Dominant Hybrid,60% Indica,40% Sativa,12.0,Skunky Sweet Diesel Honey,Creative Euphoria Happy Relaxing Creative Euphoria Happy Relaxing
2667,Critical Bilbo,"The Critical Bilbo is a strain that is very powerful and is indica dominant, which means it could possibly win many Cannabis Cup Championships. It is of Spanish origins and it looks quite fresh and green. It has small, sweet, sage green buds that look very pleasant and smell even more so. The sage green buds have a very fruity and sweet smell that can help you to calm down. The Critical Bilbo has very different effects from usual strains and is considered quite intoxicating for people who aren't accustomed to it. It can be grown both indoors and outdoors. The flowers of the Critical Bilbo strain usually take 45 to 50 days to mature.",Hybrid,50% Indica,50% Sativa,,Berry Sweet Honey,Body High Energizing Happy Relaxing Sociable Body High Energizing Happy Relaxing Sociable
2668,Dopium,"Dopium is a sativa dominant hybrid strain with a 10:90 indica/sativa ratio with an exceptional 23% THC content that will keep you coming for more after each hit. The strain is a cross between Sour Diesel and ChemDawg. It produces dense buds that are lime green in color and are equally appealing at the same time. There is not much of a difference between its taste and aroma, it has a diesel flavor with hints of pine. But then again, it may prove to be quite sour for most cannabis users. That being said, you need to keep in mind that the strain is quite potent. It is not to be taken lightly and should not be consumed by individuals who are new to smoking cannabis. The effects of the strain are cerebral and it does offer a body buzz unlike any other. But then again, it is quite calming as well. Most individuals may even find it easier to stay focused after medicating with the strain. Additionally, you will feel euphoric and happy which is why it is often recommended to patients suffering from depression or anxiety. On the other hand, it is also known for being quite effective at treating muscle spasms, chronic pains and even migraines.",Sativa Dominant Hybrid,10% Indica,90% Sativa,10.0,Chemical Diesel Sour Skunky Pine,Body High Energizing Euphoria Focus Happy Body High Energizing Euphoria Focus Happy
2669,Cracker Jack,"Cracker Jack is a cross between Green Crack and Jack Herer. Being a sativa strain, it has an exceptional 20% THC content and is known for producing a potent buzz unlike any other. But there is more to the strain than meets the eye. The strain may not look like much at first but its buds are quite dense and large. Additionally, they are sticky with good trichome coverage as well. You may also notice hints of orange hairs amongst the greens. On the other hand, the strain has a floral scent that is mesmerizing to say the least. As for the taste, it is more or less the same as its aroma but with sweet undertones. The strain is known for its energizing effects. This is perhaps why it is better off being a daytime smoke. It will clear your mind and thus allow you to stay focused on the task at hand. The strain offers a body and cerebral buzz but it does not tire you regardless of how much of the strain you have already smoked. Moreover, you will neither have to worry about exhibiting symptoms of couch-lock. You will feel refreshed nonetheless. That being said, it is important for you to keep in mind that Cracker Jack is mostly recommended for patients suffering from a variety of different conditions including tiredness, anxiety, stress, and mood disorders.",Hybrid,50% Indica,50% Sativa,20.0,Earthy Sweet Spicy Herbal Woody,Energizing Euphoria Focus Happy Energizing Euphoria Focus Happy
2670,Dreadlock,"As potent as its name suggests, Dreadlock is a perfectly balanced sativa-indica hybrid (50% sativa/50% indica) strain made from a cross of popular breeds Equatorial Sativa X Middle Eastern Indica. This strain is characterized by a creeping high, a feeling that everything is slowed around you, and an overwhelming social urge. Once someone gets you talking, you won't be able to stop! Users also typically feel a slowly-creeping energizing high with a calming presence and a feeling of overwhelming tranquility. Due to its social encouragement, this strain is used to treat social disorders and anxiety but is also common in treating pain from glaucoma and cancer due to its sedative, calming effects. Dreadlock features a hashy, musty taste remnant of tobacco and a musky pine smell. With a 19-22% THC level, this strain is perfect for the average user and an ideal choice to smoke in any situation. Newer patients tend to shy away from Dreadlock due to its potent smell and tobacco undertones. Dreadlock buds are fluffy and dense light-green nugs with vibrant orange hairs and are blanketed in trichomes.",Hybrid,50% Indica,50% Sativa,20.5,Diesel Tobacco Hash Sage Pine,Creative Focus Giggly Relaxing Sociable Creative Focus Giggly Relaxing Sociable
2671,Dorit,"An indica dominant strain, this hybrid blend has an indica/sativa ratio of 70/30 and 18 – 20 % THC content. The potent strain is named in honor of Dorit Cohen, a founding member of Tikun Olam (a medical cannabis research facility in Israel). This marijuana strain can treat patients suffering from anxiety, asthma, anorexia, arthritis, Cachexia, Crohn's Disease, Diabetes, Emphysema and cancer. A highly effective medicinal strain, it is a favorite among the marijuana community as it helps relieve stress and relaxes the mind and body. The buzz offers a euphoric high and will make you giggly and tingly. A mood elevator, this cannabis strain will help you drift off into a peaceful sleep and will wake you up with a triggered appetite. The strain has a fresh minty and spicy aroma and the delicious citrus orange flavor compliments it well. A few tokes offer a smooth and rich smoke that leaves a refreshing menthol taste in your mouth. Great for novice smokers, a draw or two of this strain will soothe your nerves and help you unwind after a hectic and tiring day.",Indica Dominant Hybrid,70% Indica,30% Sativa,,Orange Earthy Peppery Sweet Menthol Spicy Herbal Cheesy Mint,Euphoria Focus Giggly Euphoria Focus Giggly
